Semester,Division,Dept,Num,CourseName,CourseLevel,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
Spring, College of Fine Arts,ARC,48720,PLNNG DES,Graduate,9.88,4.88,4.13,4.5,4.38,4.75,4.5,4.88,4.63,4.63
Spring, College of Fine Arts,ARC,48721,BLDG CONTRL DIAGNSTC,Graduate,12.8,4.5,4.5,4.8,4.4,4.8,4.6,4.6,4.7,4.5
Spring, College of Fine Arts,ARC,48723,PERF ADV BLDNG SYSTM,Graduate,8.31,3.92,3.38,3.62,3.75,4.33,3.82,4.45,3.73,3.5
Fall, College of Fine Arts,ARC,48724,SCRIPTING,Graduate,9,4.67,4.33,4.33,4.5,4,4.33,4.67,4.33,4.5
Fall, College of Fine Arts,ARC,48725,REAL EST DSGN DVLPMT,Graduate,8.43,4.93,4.86,4.93,5,4.93,4.79,4.93,5,5
Fall, College of Fine Arts,ARC,48727,INQRY CD,Graduate,11.7,4.2,3.9,4.3,3.7,4.2,3.9,4.4,4,3.9
Fall, College of Fine Arts,ARC,48729,PROD HLTH QUAL BLDGS,Graduate,8.5,4.67,4.5,4.5,4.67,4.5,4.67,5,4.5,4.17
Spring, College of Fine Arts,ARC,48731,SUSTNB DES SYN PREP,Graduate,13.9,4.1,3.8,3.9,3.9,4,4,4.2,4,4
Fall, College of Fine Arts,ARC,48732,SUSTAIN DSGN SYNTHES,Graduate,21.8,4.8,4.4,4.6,4.6,4.8,3.8,4.8,4.2,4.2
Fall, College of Fine Arts,ARC,48733,ENV PERF SIM,Graduate,6.8,5,5,5,4.8,5,5,5,5,5
Spring, College of Fine Arts,ARC,48733,ENV PERF SIM,Graduate,15,4.85,4.92,4.92,4.85,4.77,4.92,4.92,4.92,4.92
Fall, College of Fine Arts,ARC,48734,RCTV SP MD ARC,Graduate,9.5,4.71,4.43,4.57,4.43,3.86,4.14,4.86,4.43,4.43
Fall, College of Fine Arts,ARC,48739,MKG THNGS INTACTV GR,Graduate,8.75,3.75,3.5,4.25,4.25,4.5,3.75,4.5,4,4.25
Spring, College of Fine Arts,ARC,48741,REAL ESTATE SEM,Graduate,6.71,4.57,4.29,4.29,3.86,4.43,4.17,4.17,4.17,4.14
Fall, College of Fine Arts,ARC,48745,DES FAB GRAD,Graduate,5,3,2,2,2,2,3,1,2,2
Fall, College of Fine Arts,ARC,48749,CD SPECIAL TOPICS,Graduate,9,5,4,5,5,5,5,5,5,5
Spring, College of Fine Arts,ARC,48749,SP TPS CD:CR PRS TCH,Graduate,6.5,5,5,4.5,4.5,5,4.5,5,5,5
Fall, College of Fine Arts,ARC,48750,HIST URB DES,Graduate,6.2,5,5,5,5,4.8,4.8,5,5,5
Spring, College of Fine Arts,ARC,48752,ZERO ENERGY HOUSING,Graduate,11.21,4.5,3.64,4.21,4.36,4.5,4.29,4.43,4,3.93
Fall, College of Fine Arts,ARC,48753,INTRO UD MED,Graduate,6.85,4.38,3.69,4.08,4.46,4,4.08,4.85,4.08,3.77
Fall, College of Fine Arts,ARC,48755,INTO ARC ROB,Graduate,8.75,3.75,3.75,4,3.5,4,3.5,4.75,3.5,3.5
Spring, College of Fine Arts,ARC,48758,RES MOB ENV EM2,Graduate,11,4.75,4.5,4.5,4.5,4.25,4.25,4.75,4.25,4.5
Spring, College of Fine Arts,ARC,48762,NETWK COM PLACE GRAD,Graduate,6.5,4.83,4.5,4.67,4.67,4.83,4.5,4.83,4.5,4.5
Fall, College of Fine Arts,ARC,48763,PROTEAN SYS,Graduate,8,5,5,5,4,4.5,4,5,4.5,4.5
Fall, College of Fine Arts,ARC,48765,AECM SYNTH PROJECT,Graduate,9.5,4.5,4.25,4,4.75,4.25,4.75,4.5,4.5,4.25
Fall, College of Fine Arts,ARC,48767,TRANSDISCP THINKING,Graduate,13.5,4.67,4.5,4.5,4.67,4.83,4.67,4.67,4.5,4.33
Fall, College of Fine Arts,ARC,48768,IEQ,Graduate,6.71,4.86,4.71,4.86,4.43,4.86,4.71,5,4.71,4.57
Fall, College of Fine Arts,ARC,48769,THESIS/PROJECT,Graduate,19.46,4.08,4.08,4.15,4,4.15,4.15,4.23,4.15,4.08
Spring, College of Fine Arts,ARC,48773,EMRGNG MEDIA URBNSM,Graduate,10.5,4.67,4,4.17,4.5,4.67,4.33,5,4.33,4.67
Spring, College of Fine Arts,ARC,48776,MAAD ASOS II,Graduate,15,4.75,4.71,4.63,4.75,4.63,4.75,4.75,4.75,4.75
Spring, College of Fine Arts,ARC,48778,MAAD SEM II,Graduate,7,5,5,5,5,5,5,5,5,5
Spring, College of Fine Arts,ARC,48781,SPTL ANLY INFRTC PLN,Graduate,11.76,4.59,4.82,4.82,4.65,4.88,4.82,4.82,4.71,4.71
Fall, College of Fine Arts,ARC,48783,GEN MOD GRAD,Graduate,7,4.67,4.5,4.5,4.5,4.33,4.5,4.5,4.5,4.17
Fall, College of Fine Arts,ARC,48785,MAAD RES PROJ,Graduate,13.25,5,5,5,5,5,5,5,5,5
Spring, College of Fine Arts,ARC,48785,MAAD RES PROJ,Graduate,17,5,5,5,5,5,5,5,5,5
